,date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
0,0,0,2,3,8,0.8,26.16,1108.0,7080,98,0.0,0,0,59.0,0.940725424
1,0,0,1,3,1,0.75,3.94,1506.0,960,26,0.0,0,0,8.0,0.8865
2,0,0,2,3,11,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492
3,0,0,2,3,12,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492
4,0,0,2,3,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,0.800381944
5,0,0,2,3,7,0.8,25.9,984.0,6720,38,0.0,0,0,56.0,0.800125
6,0,0,1,3,2,0.75,3.94,1506.0,960,26,0.0,0,0,8.0,0.755166667
7,0,0,2,3,3,0.75,28.08,795.0,6900,45,0.0,0,0,57.5,0.753683478
8,0,0,2,3,2,0.75,19.87,733.0,6000,34,0.0,0,0,55.0,0.753097531
9,0,0,2,3,1,0.75,28.08,681.0,6900,45,0.0,0,0,57.5,0.750427826
10,0,0,2,3,9,0.7,28.08,872.0,6900,44,0.0,0,0,57.5,0.721126957
11,0,0,2,3,10,0.75,19.31,578.0,6480,45,0.0,0,0,54.0,0.712205247
12,0,0,2,3,5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,0.707045902
13,0,0,1,3,10,0.65,3.94,1506.0,960,26,0.0,0,0,8.0,0.705916667
14,0,0,1,3,8,0.75,2.9,1520.0,960,26,0.0,0,0,8.0,0.676666667
15,0,0,1,3,4,0.75,3.94,1506.0,2160,26,0.0,0,0,18.0,0.593055556
16,0,0,1,3,7,0.8,2.9,1520.0,960,26,0.0,0,0,8.0,0.540729167
17,0,0,2,3,4,0.65,23.69,861.0,7200,0,0.0,0,0,60.0,0.52118
18,0,0,0,3,11,0.7,4.15,1504.0,1440,26,0.0,0,0,12.0,0.436326389
19,19,0,1,1,4,0.8,4.15,1504.0,6600,26,0.0,0,0,20.0,0.988024691
20,19,0,1,1,11,0.75,2.9,1520.0,5640,26,0.0,0,0,17.0,0.987880435
21,19,0,1,1,9,0.8,4.15,1504.0,960,26,0.0,0,0,8.0,0.956270833
